Webapp (reports only),Webapp (download),API,Datafeed,Price Facto
TRUE,FALSE,FALSE,FALSE,-0.15
FALSE,TRUE,FALSE,FALSE,0
FALSE,FALSE,TRUE,FALSE,0
FALSE,FALSE,FALSE,TRUE,+0.15
TRUE,TRUE,FALSE,FALSE,+0
TRUE,FALSE,TRUE,FALSE,+0.20
TRUE,FALSE,FALSE,TRUE,+0.35
TRUE,TRUE,TRUE,FALSE,+0.20
TRUE,TRUE,FALSE,TRUE,+0.35
TRUE,FALSE,TRUE,TRUE,+0.40
TRUE,TRUE,TRUE,TRUE,+0.40
FALSE,TRUE,TRUE,FALSE,+0.20
FALSE, FALSE,TRUE,FALSE,+0.35
FALSE,FALSE,TRUE,TRUE,+0.35
FALSE,TRUE,TRUE,TRUE,+0.40
