Label name,Exposures,ESG Risk,SFDR PAIs,UN SDGs Alignment,Carbon Footprint,EU Taxonomy - product level reporting,Other
PaB - Paris Aligned Benchmarks,14,0,3,0,0,0,8
CTB - Climate Transition Benchmark,6,0,1,0,0,0,0
FNG,12,0,1,1,0,0,0
SRI,11,0,3,0,0,0,0
