Ticket size,# licenses
5000,1
20000,1
27000,1
34000,1
41000,2
48000,2
55000,2
62000,3
69000,3
76000,3
83000,4
90000,4
97000,4
104000,5
111000,5
118000,5
125000,6
132000,6
139000,6
146000,7
153000,7
160000,7
167000,8
174000,8
181000,8
